hour,temp,humi,level
22.0,25.2,60.8,1
5.0,26.5,69.6,0
11.0,31.4,66.5,1
7.0,28.7,81.2,1
3.0,28.4,78.0,1
21.0,27.5,77.2,1
14.0,34.8,66.8,1
16.0,25.8,79.2,0
11.0,32.1,82.9,0
1.0,25.3,69.2,0
17.0,27.9,66.5,0
2.0,25.9,71.9,0
7.0,25.9,89.3,1
19.0,28.5,87.6,1
0.0,24.9,71.9,0
6.0,27.2,65.1,1
19.0,28.0,62.0,1
12.0,33.1,83.8,1
22.0,26.2,71.3,1
20.0,25.6,65.6,1
5.0,27.0,70.6,0
17.0,26.3,65.3,0
23.0,26.2,85.2,0
1.0,26.7,78.7,0
4.0,28.4,84.2,1
10.0,27.0,61.4,1
18.0,24.8,63.7,0
9.0,28.0,79.0,1
20.0,28.6,83.0,1
2.0,25.9,68.9,0
7.0,27.8,76.3,0
14.0,33.3,62.4,1
15.0,33.4,76.8,1
16.0,28.7,66.7,0
3.0,25.9,86.1,0
20.0,26.2,83.8,1
7.0,24.5,64.0,1
17.0,26.9,79.9,1
18.0,27.9,61.2,0
22.0,26.7,85.7,1
2.0,24.1,63.6,0
4.0,26.2,72.7,0
1.0,25.0,63.4,0
8.0,28.3,81.6,0
14.0,31.7,69.6,1
11.0,33.1,70.6,1
5.0,25.2,64.7,0
18.0,24.3,85.2,1
16.0,25.6,74.7,0
14.0,31.2,89.5,0
5.0,28.3,82.1,1
10.0,26.4,75.2,0
18.0,25.7,70.5,1
13.0,35.2,67.2,1
8.0,28.5,89.6,0
9.0,26.7,83.0,0
20.0,28.8,85.3,0
14.0,31.0,87.3,0
19.0,27.0,61.5,1
8.0,26.5,88.1,1
13.0,31.4,79.6,1
5.0,28.1,80.1,1
19.0,27.5,76.7,0
4.0,28.1,64.3,1
13.0,32.4,68.4,0
15.0,33.4,75.2,1
20.0,27.4,77.9,0
21.0,27.7,89.8,1
22.0,26.2,70.4,0
20.0,27.4,76.5,1
7.0,26.0,72.0,1
16.0,24.9,83.5,1
9.0,24.8,72.1,0
6.0,24.8,64.4,1
5.0,24.2,83.5,0
1.0,28.7,79.4,1
9.0,24.6,61.6,0
23.0,24.8,70.6,0
23.0,28.1,74.2,1
20.0,25.7,79.1,0
15.0,32.5,88.1,1
1.0,27.4,64.4,1
14.0,33.3,73.3,1
23.0,27.8,66.3,1
2.0,27.0,70.1,0
16.0,26.1,77.2,0
18.0,28.5,88.7,1
3.0,28.2,74.3,1
6.0,25.7,76.5,1
19.0,28.3,67.3,0
19.0,27.8,63.7,1
1.0,27.3,64.0,1
7.0,27.2,67.8,0
8.0,28.3,65.2,0
6.0,27.3,77.5,1
2.0,27.5,71.4,1
23.0,26.4,67.0,1
15.0,34.0,85.4,1
11.0,32.3,76.6,1
5.0,26.9,66.3,0
21.0,25.4,65.5,0
0.0,28.0,75.4,1
2.0,26.7,78.1,0
20.0,26.9,62.6,1
8.0,25.0,70.8,0
10.0,27.5,89.4,1
9.0,26.7,84.2,0
18.0,27.9,79.2,0
17.0,27.7,86.2,1
23.0,24.8,88.7,1
20.0,26.4,85.1,1
7.0,26.0,78.0,1
22.0,28.8,84.0,0
2.0,24.3,80.0,0
16.0,29.0,71.1,1
19.0,25.3,75.8,1
13.0,31.3,65.4,1
7.0,27.5,87.4,0
10.0,27.3,85.6,1
12.0,31.5,71.3,1
11.0,33.8,61.4,0
20.0,24.1,82.6,0
21.0,28.5,77.9,1
17.0,24.7,83.7,1
20.0,27.0,68.8,1
13.0,34.1,61.9,1
8.0,24.1,89.4,0
4.0,28.8,88.3,1
11.0,34.1,60.7,1
17.0,26.2,75.9,0
15.0,32.2,64.0,1
4.0,26.3,64.0,0
11.0,32.1,64.1,1
14.0,35.4,88.1,1
3.0,28.9,80.3,1
12.0,32.9,71.0,1
0.0,25.2,81.0,0
23.0,27.0,83.0,0
6.0,24.8,76.8,1
13.0,34.2,78.8,1
16.0,27.4,79.3,1
12.0,35.1,83.5,1
0.0,25.0,60.1,0
2.0,24.3,71.7,0
19.0,26.6,80.7,1
18.0,26.0,61.4,0
10.0,26.0,88.8,1
21.0,25.0,65.4,0
5.0,28.5,72.9,1
20.0,25.6,86.3,0
19.0,28.7,85.8,0
15.0,33.2,78.1,1
11.0,31.3,78.5,0
8.0,24.6,84.8,1
13.0,32.4,87.4,1
21.0,28.0,67.5,1
10.0,26.9,86.8,0
1.0,25.1,83.9,0
14.0,34.9,88.0,1
12.0,33.5,60.9,1
2.0,26.8,80.6,0
11.0,32.9,86.6,1
0.0,28.7,80.8,1
20.0,28.9,79.7,1
8.0,26.6,84.0,1
18.0,24.2,69.3,0
0.0,26.9,77.5,0
4.0,28.5,71.3,1
19.0,28.6,85.6,1
8.0,26.4,84.4,1
17.0,28.0,79.7,0
18.0,27.2,69.0,0
18.0,26.1,82.5,0
7.0,24.1,81.3,0
19.0,25.2,67.4,0
18.0,28.9,76.5,0
11.0,35.8,60.9,1
19.0,24.7,81.7,0
19.0,27.4,62.3,1
16.0,27.0,88.3,0
1.0,29.0,87.2,1
5.0,28.6,64.3,1
17.0,27.3,60.4,1
11.0,35.3,75.4,1
18.0,24.4,60.3,0
1.0,26.2,72.0,0
23.0,26.6,89.9,1
3.0,28.0,87.2,1
11.0,31.6,76.2,1
7.0,26.7,87.3,0
4.0,25.6,79.4,0
20.0,27.2,72.9,0
17.0,24.5,69.8,0
12.0,34.0,69.1,1
13.0,31.3,60.2,1
9.0,26.8,65.7,0
9.0,25.4,89.6,0
17.0,25.2,72.8,0
20.0,28.6,87.9,1
9.0,28.3,80.6,1
19.0,26.2,63.7,0
2.0,26.3,88.8,0
16.0,26.9,68.4,0
10.0,28.9,77.6,1
15.0,32.3,77.4,1
0.0,26.8,82.3,0
20.0,26.0,72.9,0
3.0,26.7,74.5,0
23.0,27.9,65.5,1
17.0,27.2,77.2,0
20.0,27.7,81.7,1
4.0,28.1,88.6,1
19.0,28.1,73.1,0
20.0,28.3,65.9,0
19.0,25.6,82.3,1
8.0,24.3,76.9,0
17.0,27.7,85.3,1
22.0,25.9,82.6,0
3.0,26.2,66.2,0
21.0,26.7,77.2,0
18.0,27.3,69.3,1
22.0,27.7,60.6,1
21.0,27.7,73.8,1
0.0,25.7,86.9,0
16.0,25.6,73.2,0
20.0,28.0,87.8,1
23.0,28.2,81.2,0
7.0,26.2,83.2,1
17.0,25.7,72.4,0
23.0,25.1,75.8,0
22.0,24.0,87.4,0
3.0,27.4,73.5,1
22.0,24.0,75.9,0
2.0,26.0,77.6,0
7.0,25.8,64.5,0
21.0,26.4,88.0,0
9.0,24.6,87.3,0
16.0,28.1,86.7,0
20.0,24.4,86.9,1
11.0,32.3,75.7,1
21.0,24.0,61.9,1
10.0,27.9,68.2,0
2.0,26.6,85.6,0
17.0,26.3,80.8,1
23.0,25.3,71.9,1
4.0,27.7,66.7,1
5.0,24.3,65.6,0
3.0,26.5,69.9,0
1.0,25.6,86.7,0
16.0,26.8,84.5,1
2.0,27.4,64.6,1
9.0,24.6,63.4,1
18.0,26.1,75.5,1
17.0,26.4,68.2,0
19.0,29.0,67.3,1
3.0,26.6,65.9,0
23.0,27.8,62.9,1
17.0,25.2,82.6,1
1.0,26.1,60.7,0
18.0,24.2,76.9,0
22.0,24.9,78.0,0
8.0,28.9,87.9,1
20.0,26.0,60.6,1
4.0,24.6,65.2,0
6.0,25.8,66.5,1
6.0,28.1,79.9,0
19.0,26.5,83.7,1
21.0,25.4,88.9,0
11.0,35.1,87.8,1
16.0,25.6,69.6,0
6.0,24.1,63.2,1
15.0,32.5,69.5,1
18.0,28.9,69.1,1
10.0,24.9,68.0,0
8.0,24.4,72.7,0
10.0,26.7,69.0,1
22.0,26.7,89.2,0
5.0,27.5,82.6,1
13.0,31.7,62.4,1
22.0,27.0,63.4,0
3.0,26.9,86.1,0
7.0,24.2,76.9,1
7.0,27.9,89.1,0
6.0,24.3,68.1,0
7.0,25.2,78.0,1
8.0,26.3,65.4,1
11.0,32.7,79.9,1
10.0,28.0,75.5,1
6.0,25.3,84.3,1
14.0,35.6,83.8,1
13.0,32.6,74.6,1
7.0,27.1,65.9,1
7.0,27.6,78.0,1
7.0,27.5,83.6,0
3.0,24.3,66.3,0
16.0,28.3,64.5,1
1.0,28.3,65.9,1
6.0,26.0,88.8,1
22.0,24.6,65.8,0
0.0,27.1,76.7,1
11.0,31.1,69.2,1
20.0,26.0,64.8,1
13.0,33.6,64.6,1
18.0,24.4,84.3,0
5.0,26.0,84.8,0
9.0,27.5,81.3,0
15.0,31.3,64.9,1
7.0,26.3,83.6,0
17.0,28.7,75.2,1
10.0,28.2,78.2,0
4.0,24.7,69.8,0
12.0,33.7,85.6,1
1.0,25.9,72.0,0
5.0,29.0,72.2,1
6.0,25.6,78.7,0
6.0,25.8,89.6,1
12.0,33.5,71.7,1
20.0,27.9,88.2,1
10.0,28.5,84.5,1
2.0,28.8,85.1,1
20.0,25.8,70.9,1
18.0,24.7,80.1,0
10.0,28.3,87.9,0
3.0,25.7,88.0,0
5.0,24.5,86.2,0
8.0,24.1,63.2,0
8.0,24.7,74.0,0
22.0,27.7,76.2,1
11.0,34.7,83.2,1
20.0,25.0,79.6,1
0.0,24.2,77.2,0
12.0,32.4,71.9,1
20.0,26.9,78.6,0
20.0,24.8,86.8,1
11.0,31.3,74.2,0
0.0,27.7,71.5,1
16.0,24.6,64.5,0
4.0,25.1,67.8,0
23.0,25.3,69.4,1
16.0,25.9,67.3,1
6.0,27.2,60.7,0
11.0,34.0,76.8,1
21.0,24.2,62.5,1
10.0,27.0,84.5,1
16.0,28.7,77.1,1
18.0,25.6,65.2,0
14.0,32.5,87.3,1
0.0,25.3,87.1,0
20.0,28.7,68.7,1
10.0,26.2,76.4,0
7.0,25.8,63.5,1
11.0,33.4,85.0,1
6.0,25.4,84.5,1
12.0,33.2,80.3,1
17.0,25.7,71.5,0
0.0,24.5,60.4,0
18.0,26.5,72.9,0
9.0,26.6,73.9,1
7.0,27.4,79.8,1
5.0,26.9,67.5,0
22.0,26.5,80.5,0
1.0,28.3,72.1,1
11.0,34.5,66.5,1
21.0,24.5,70.5,0
0.0,28.8,84.7,1
17.0,26.8,89.7,0
11.0,35.0,81.9,1
6.0,26.9,79.9,1
1.0,24.5,60.4,0
18.0,26.6,66.7,0
7.0,26.3,84.7,1
21.0,25.8,83.5,1
19.0,25.8,81.0,0
15.0,32.2,77.6,1
7.0,24.0,76.0,1
9.0,25.0,72.5,1
12.0,34.6,62.4,1
7.0,27.1,79.9,0
21.0,25.9,73.3,0
7.0,25.3,71.6,1
8.0,25.1,82.7,1
9.0,27.1,61.4,0
9.0,24.1,63.1,0
9.0,26.8,63.2,1
10.0,24.5,80.8,0
15.0,35.3,78.0,1
5.0,28.2,77.9,1
4.0,25.5,87.0,0
0.0,28.9,84.5,1
7.0,27.8,72.7,0
12.0,31.0,67.0,3
12.0,31.0,67.0,3
16.0,31.0,67.0,3
16.0,31.0,67.0,3
